Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,1,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,2,"0,0","999,0","0,0","0,0","0,0","0,0","999,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","0,0","0,0","0,0","999,0","0,0","999,0","999,0","0,0",999.0,,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,3,"0,0","999,0","999,0","999,0","999,0","0,0","999,0","999,0","0,0","0,0","0,0","0,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0","999,0","0,0","999,0","999,0","999,0","0,0",999.0,999.0,999.0
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,4,"0,0","999,0","0,0","999,0","0,0","0,0","0,0","0,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0","999,0",999.0,999.0,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,5,"0,0","999,0","999,0","0,0","999,0","0,0","0,0","0,0","0,0","0,0","0,0","999,0","999,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","999,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,6,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,7,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,8,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,9,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Itapipoca,BETANIA,"-3,2675","-39,6475",1988,10,"0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,0.0
